run_dir,layer_name,n_channels,n_patches,cos_mean,cos_std,abs_cos_mean,cos_p25,cos_p50,cos_p75,sigma_norm_mean,g_t_norm_mean
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,conv1,64,131072,0.15268978476524353,0.7438763976097107,0.696240246295929,-0.6807124614715576,0.4180154800415039,0.8512901067733765,0.4484007954597473,0.20964589715003967
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer1.0.conv1,64,131072,-0.020533520728349686,0.20101231336593628,0.17054565250873566,-0.17245298624038696,0.01639733836054802,0.15411582589149475,0.0508422814309597,0.03988869488239288
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer1.0.conv2,64,131072,0.039272189140319824,0.1151154637336731,0.09710133075714111,-0.054809071123600006,0.04301074892282486,0.10336704552173615,0.03242894262075424,0.028449127450585365
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer1.1.conv1,64,131072,0.0373423770070076,0.12906688451766968,0.11169043928384781,-0.05719315633177757,0.048040058463811874,0.11500763148069382,0.07640829682350159,0.046015795320272446
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer1.1.conv2,64,131072,0.01079900749027729,0.13657668232917786,0.1142168715596199,-0.0816587582230568,0.0025645813439041376,0.13295218348503113,0.006446917075663805,0.012045224197208881
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer2.0.conv1,128,131072,0.01938890479505062,0.11874176561832428,0.09897934645414352,-0.07240132987499237,0.003060623537749052,0.110757976770401,0.0829973816871643,0.04635033756494522
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer2.0.conv2,128,131072,0.024086931720376015,0.12916260957717896,0.10937610268592834,-0.08102580904960632,0.029216861352324486,0.12262196093797684,0.03363850712776184,0.035143837332725525
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer2.0.downsample.0,128,131072,-0.01055473554879427,0.12994825839996338,0.103812076151371,-0.09626191854476929,-0.014377256855368614,0.08438920974731445,0.011275826022028923,0.01602998934686184
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer2.1.conv1,128,131072,0.05363553762435913,0.10596023499965668,0.09627655148506165,-0.020297938957810402,0.054971396923065186,0.12307576835155487,0.07921396195888519,0.07111398130655289
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer2.1.conv2,128,131072,0.019721291959285736,0.08736071735620499,0.07225073873996735,-0.04108862578868866,0.024182692170143127,0.08280668407678604,0.008043505251407623,0.017259258776903152
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer3.0.conv1,256,131072,-0.051427729427814484,0.10400644689798355,0.09139595925807953,-0.12225833535194397,-0.04979117214679718,0.020786484703421593,0.10745099931955338,0.07313977181911469
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer3.0.conv2,256,131072,-0.019765209406614304,0.06699477881193161,0.05599197745323181,-0.0656726062297821,-0.01886267215013504,0.0217023566365242,0.03819797560572624,0.06002597138285637
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer3.0.downsample.0,256,131072,-0.029671112075448036,0.12570220232009888,0.1047256737947464,-0.1099681705236435,-0.034477006644010544,0.06312599033117294,0.014393108896911144,0.02634417451918125
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer3.1.conv1,256,131072,-0.0010162335820496082,0.06191381812095642,0.04972948879003525,-0.0437580831348896,-0.0039650918915867805,0.041206877678632736,0.06801369786262512,0.1225496232509613
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer3.1.conv2,256,131072,-0.03637528419494629,0.05419151857495308,0.05184977129101753,-0.07439839094877243,-0.034038230776786804,-0.0022880728356540203,0.00476788030937314,0.028663117438554764
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer4.0.conv1,512,32768,-0.011521167121827602,0.06681974977254868,0.05381949245929718,-0.05550074577331543,-0.01040315255522728,0.03403785824775696,0.06281255185604095,0.1256265491247177
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer4.0.conv2,512,32768,-0.034703876823186874,0.06792992353439331,0.06348706036806107,-0.08456308394670486,-0.04060816019773483,0.012617313303053379,0.010999970138072968,0.08251897245645523
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer4.0.downsample.0,512,32768,-0.003628185950219631,0.07549658417701721,0.06093475967645645,-0.05896467715501785,-0.002127215266227722,0.04659276828169823,0.010611222125589848,0.04630300775170326
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer4.1.conv1,512,32768,-0.1370392143726349,0.04851886257529259,0.1372252255678177,-0.16613389551639557,-0.1358504593372345,-0.10620062053203583,0.026948072016239166,0.14187760651111603
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,layer4.1.conv2,512,32768,0.025942401960492134,0.05966576933860779,0.053314026445150375,-0.016361169517040253,0.028437415137887,0.06754154711961746,0.0020999375265091658,0.08769538253545761
results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,conv1,64,131072,0.07457725703716278,0.4553608298301697,0.41309502720832825,-0.3779362738132477,0.10762424767017365,0.47457975149154663,0.48701241612434387,0.09106945991516113
