run_dir,layer_name,n_channels,n_patches,cos_mean,cos_std,abs_cos_mean,cos_p25,cos_p50,cos_p75,sigma_norm_mean,g_t_norm_mean
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.0,64,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.3,64,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.7,128,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.10,128,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.14,256,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.17,256,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.20,256,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.24,512,32768,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.27,512,32768,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.30,512,32768,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.34,512,8192,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.37,512,8192,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,features.40,512,8192,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.0,64,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.3,64,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.7,128,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.10,128,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.14,256,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.17,256,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.20,256,131072,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.24,512,32768,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.27,512,32768,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.30,512,32768,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.34,512,8192,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.37,512,8192,nan,nan,nan,nan,nan,nan,nan,nan
results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,features.40,512,8192,nan,nan,nan,nan,nan,nan,nan,nan
