accuracy_auc,method,n_points,pruning_method,run_dir,seed
0.04472154206824693,bp,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.0338468085106383,bp,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.06934140355531972,bp,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.04386681282543163,bp,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.07148228835978836,bp,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.08171600738396625,bp,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.1330285201912859,bp,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.21741224760892663,bp,6,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.14594380977683316,bp,6,cluster_aware_stratified_twoaxis_adaptive_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42
0.05972544933576452,bp,6,random,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
0.043655261723009806,bp,6,magnitude,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
0.06174449309978769,bp,6,taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
0.04591717337715695,bp,6,chip,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
0.06571745046235138,bp,6,composite,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
0.10080364693446087,bp,6,cluster_aware,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
0.14291935526664895,bp,6,cap_ixy_hybrid_taylor,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123
