actual_training_epochs,best_accuracy,dataset,final_antidecouple_gap,final_antidecouple_rho_l,final_ce_loss,final_cross_layer_weight_max,final_cross_layer_weight_mean,final_cross_layer_weight_min,final_duplicate_task_fraction,final_duplicate_task_mass,final_gate_relevance_mean,final_grad_projection_abs_cos_mean,final_grad_projection_norm_shrink_mean,final_hull_score_mean,final_hull_size_mean,final_non_replaceable_task_fraction,final_non_replaceable_task_mass,final_peer_reconstructability_mean,final_regularizer_raw,final_regularizer_weight,final_regularizer_weighted,final_rho_cap,final_rtc_relevance_mean,final_synergy_raw_mean,final_task_gate_mean,final_task_relevance_mean,final_total_loss,final_train_accuracy,has_pruning,has_results,initial_accuracy,learning_rule_anti_decouple_target_rho,learning_rule_cross_layer_alloc,learning_rule_cross_layer_alpha,learning_rule_grad_projection_strength,learning_rule_hull_eps,learning_rule_hull_max_size,learning_rule_lambda,learning_rule_peer_proxy,learning_rule_schedule,learning_rule_task_gate_source,method,metric_trigger_epoch,model,name,pruning_baseline_accuracy,ramp_epochs,regularized_layers,run_dir,seed,training_complete,training_epochs,warmup_epochs,width_multiplier
200,0.7665,cifar100,,,0.014586904126664867,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.014586904126664867,0.7649,True,True,0.0113,,uniform,1.0,,,,0.0,avg_corr2,warmup,task,bp,,resnet18,lr_resnet18_cifar100_bp_baseline,0.7664,0,0,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_195455_12797069,42,True,200,0,
200,0.7669,cifar100,,,0.014337213274062899,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.014337213274062899,0.7649,True,True,0.01,,uniform,1.0,,,,0.0,avg_corr2,warmup,task,bp,,resnet18,lr_resnet18_cifar100_bp_baseline,0.7665,0,0,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_203933_12797070,123,True,200,0,
200,0.7656,cifar100,,,0.015070426935220467,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.015070426935220467,0.7636,True,True,0.0057,,uniform,1.0,,,,0.0,avg_corr2,warmup,task,bp,,resnet18,lr_resnet18_cifar100_bp_baseline,0.7659,0,0,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_212353_12797071,456,True,200,0,
200,0.7639,cifar100,,,0.014535149704674474,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.014535149704674474,0.7614,True,True,0.01,,uniform,1.0,,,,0.0,avg_corr2,warmup,task,bp,,resnet18,lr_resnet18_cifar100_bp_baseline,0.7644,0,0,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_214528_12797072,789,True,200,0,
200,0.7713,cifar100,,,0.014621352714955654,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.014621352714955654,0.7691,True,True,0.0098,,uniform,1.0,,,,0.0,avg_corr2,warmup,task,bp,,resnet18,lr_resnet18_cifar100_bp_baseline,0.7713,0,0,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_baseline_20260513_215107_12797073,1011,True,200,0,
200,0.7677,cifar100,,,0.014135984281111328,,,,,,,,,,,,,,0.039981540473525784,0.001,,,,,,,0.01417596584729031,0.7664,True,True,0.0113,,uniform,1.0,,,,0.001,avg_corr2,warmup,task,bp_decov,,resnet18,lr_resnet18_cifar100_bp_decov,0.7673,5,20,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220758_12797074,42,True,200,10,
200,0.7664,cifar100,,,0.014159560126140523,,,,,,,,,,,,,,0.042021593779249265,0.001,,,,,,,0.014201581747273503,0.7651,True,True,0.01,,uniform,1.0,,,,0.001,avg_corr2,warmup,task,bp_decov,,resnet18,lr_resnet18_cifar100_bp_decov,0.7665,5,20,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_220825_12797075,123,True,200,10,
200,0.7639,cifar100,,,0.014705795541053156,,,,,,,,,,,,,,0.041907386192122996,0.001,,,,,,,0.014747702957266736,0.7616,True,True,0.0057,,uniform,1.0,,,,0.001,avg_corr2,warmup,task,bp_decov,,resnet18,lr_resnet18_cifar100_bp_decov,0.7637,5,20,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223022_12797076,456,True,200,10,
200,0.7637,cifar100,,,0.01460589289717624,,,,,,,,,,,,,,0.04079335512560042,0.001,,,,,,,0.014646686239601553,0.7604,True,True,0.01,,uniform,1.0,,,,0.001,avg_corr2,warmup,task,bp_decov,,resnet18,lr_resnet18_cifar100_bp_decov,0.7636,5,20,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_223546_12797077,789,True,200,10,
200,0.7639,cifar100,,,0.014729320374138825,,,,,,,,,,,,,,0.041658533999072316,0.001,,,,,,,0.01477097893190925,0.7639,True,True,0.0098,,uniform,1.0,,,,0.001,avg_corr2,warmup,task,bp_decov,,resnet18,lr_resnet18_cifar100_bp_decov,0.7642,5,20,results/learning_rules/resnet18_cifar100/lr_resnet18_cifar100_bp_decov_20260513_224356_12797078,1011,True,200,10,
