accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.7144,0.7144,0.006699999999999928,0.0,0.09990530303030302,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.1
0.0794,0.0794,0.6416999999999999,0.0,0.2999526515151515,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.3
0.0128,0.0128,0.7082999999999999,0.0,0.4815340909090909,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.5
0.01,0.01,0.7111,0.0,0.6785037878787878,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.7
0.01,0.01,0.7111,0.0,0.7767518939393939,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.8
0.01,0.01,0.7111,0.0,0.8738162878787878,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.9
0.7135,0.7135,0.00759999999999994,0.0,0.09990530303030302,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.1
0.0233,0.0233,0.6978,0.0,0.29521780303030304,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.3
0.0101,0.0101,0.711,0.0,0.48200757575757575,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.5
0.01,0.01,0.7111,0.0,0.6808712121212122,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.7
0.01,0.01,0.7111,0.0,0.7769886363636364,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.8
0.01,0.01,0.7111,0.0,0.8752367424242424,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.9
0.5993,0.5993,0.12179999999999991,0.0,0.09990530303030302,,bp_antidecouple,composite,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,0.1
