actual_training_epochs,best_accuracy,dataset,final_antidecouple_gap,final_antidecouple_rho_l,final_ce_loss,final_cross_layer_weight_max,final_cross_layer_weight_mean,final_cross_layer_weight_min,final_duplicate_task_fraction,final_duplicate_task_mass,final_gate_relevance_mean,final_grad_projection_abs_cos_mean,final_grad_projection_norm_shrink_mean,final_hull_score_mean,final_hull_size_mean,final_non_replaceable_task_fraction,final_non_replaceable_task_mass,final_peer_reconstructability_mean,final_regularizer_raw,final_regularizer_weight,final_regularizer_weighted,final_rho_cap,final_rtc_relevance_mean,final_synergy_raw_mean,final_task_gate_mean,final_task_relevance_mean,final_total_loss,final_train_accuracy,has_pruning,has_results,initial_accuracy,learning_rule_anti_decouple_target_rho,learning_rule_cross_layer_alloc,learning_rule_cross_layer_alpha,learning_rule_grad_projection_strength,learning_rule_hull_eps,learning_rule_hull_max_size,learning_rule_lambda,learning_rule_peer_proxy,learning_rule_schedule,learning_rule_task_gate_source,method,metric_trigger_epoch,model,name,pruning_baseline_accuracy,ramp_epochs,regularized_layers,run_dir,seed,training_complete,training_epochs,warmup_epochs,width_multiplier
100,0.7213,cifar100,-0.11101643952698804,0.1889835604730121,0.14959208844491587,,,,,,,,,,,,,,0.0322767381676618,0.3,0.00968302145029854,,,,,,0.1592751102679221,0.7194,True,True,0.01,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_antidecouple,,cifar_vgg16,vgg16_cifar100_bp_antidecouple_e100,0.7211,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185014_13530275,42,True,100,10,
100,0.7247,cifar100,-0.11734964105144521,0.18265035894855444,0.15316524121271985,,,,,,,,,,,,,,0.03494989939446054,0.3,0.010484969818338161,,,,,,0.1636502115660921,0.7245,True,True,0.0076,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_antidecouple,,cifar_vgg16,vgg16_cifar100_bp_antidecouple_e100,0.7245,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_185800_13530276,123,True,100,10,
100,0.7225,cifar100,-0.10996289009366356,0.19003710990633638,0.15087381732242797,,,,,,,,,,,,,,0.03199874512140241,0.3,0.009599623536420724,,,,,,0.1604734413764056,0.7214,True,True,0.0102,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_antidecouple,,cifar_vgg16,vgg16_cifar100_bp_antidecouple_e100,0.7225,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190043_13530278,789,True,100,10,
100,0.7264,cifar100,-0.12162799694824401,0.1783720030517558,0.14942013056915435,,,,,,,,,,,,,,0.03667802398648027,0.3,0.01100340719594408,,,,,,0.16042353807355436,0.725,True,True,0.0075,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_antidecouple,,cifar_vgg16,vgg16_cifar100_bp_antidecouple_e100,0.7261,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,True,100,10,
100,0.7227,cifar100,-0.10328729633933958,0.19671270366066038,0.15738033045969352,,,,,,,,,,,,,,0.03046548948265955,0.3,0.009139646844797865,,,,,,0.16651997774305854,0.7221,True,True,0.0095,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_antidecouple,,cifar_vgg16,vgg16_cifar100_bp_antidecouple_e100,0.722,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,True,100,10,
100,0.01,cifar100,,,nan,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,nan,0.01,False,False,0.0094,,uniform,1.0,,0.05,10,0.0,avg_corr2,warmup,task,bp,,vgg16,vgg16_cifar100_bp_baseline_e100,,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_082055_13122570,42,False,100,0,
100,0.7207,cifar100,,,0.14792198279057928,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.14792198279057928,0.7207,True,True,0.01,,uniform,1.0,0.0,0.05,10,0.0,avg_corr2,warmup,task,bp,,cifar_vgg16,vgg16_cifar100_bp_baseline_e100,0.7193,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260516_162944_13306395,42,True,100,0,
100,0.7207,cifar100,,,0.14792198279057928,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.14792198279057928,0.7207,True,True,0.01,,uniform,1.0,0.0,0.05,10,0.0,avg_corr2,warmup,task,bp,,cifar_vgg16,vgg16_cifar100_bp_baseline_e100,0.7193,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092620_13469051,42,True,100,0,
100,0.7252,cifar100,,,0.15190455566167527,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.15190455566167527,0.7249,True,True,0.0076,,uniform,1.0,0.0,0.05,10,0.0,avg_corr2,warmup,task,bp,,cifar_vgg16,vgg16_cifar100_bp_baseline_e100,0.7247,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092630_13469052,123,True,100,0,
100,0.7252,cifar100,,,0.14622476474022317,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.14622476474022317,0.723,True,True,0.0096,,uniform,1.0,0.0,0.05,10,0.0,avg_corr2,warmup,task,bp,,cifar_vgg16,vgg16_cifar100_bp_baseline_e100,0.7249,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092636_13469055,1011,True,100,0,
100,0.7217,cifar100,,,0.1564901160728901,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.1564901160728901,0.721,True,True,0.0076,,uniform,1.0,0.0,0.05,10,0.0,avg_corr2,warmup,task,bp,,cifar_vgg16,vgg16_cifar100_bp_baseline_e100,0.7214,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092720_13469053,456,True,100,0,
100,0.7224,cifar100,,,0.15872294589153033,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.15872294589153033,0.7203,True,True,0.0102,,uniform,1.0,0.0,0.05,10,0.0,avg_corr2,warmup,task,bp,,cifar_vgg16,vgg16_cifar100_bp_baseline_e100,0.7228,0,0,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_baseline_e100_20260517_092721_13469054,789,True,100,0,
100,0.7226,cifar100,,,0.14786362751861057,,,,,,,,,,,,,,-0.0052625301932377735,0.3,-0.001578759057971332,,,0.005262530004953222,,,0.14628486847862257,0.7226,True,True,0.01,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_synergy,,cifar_vgg16,vgg16_cifar100_bp_synergy_e100,0.722,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_synergy_e100_20260517_182830_13530254,42,True,100,10,
100,0.72,cifar100,,,0.1498357894094399,,,,,,,,,,,,,,-0.005171556899900479,0.3,-0.0015514670699701436,,,0.00517155671493971,,,0.1482843222082271,0.7197,True,True,0.0076,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_synergy,,cifar_vgg16,vgg16_cifar100_bp_synergy_e100,0.7204,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_synergy_e100_20260517_184137_13530255,123,True,100,10,
100,0.7203,cifar100,,,0.1514880035996742,,,,,,,,,,,,,,-0.005142084433628089,0.3,-0.0015426253300884266,,,0.005142084244874029,,,0.1499453783511658,0.7203,True,True,0.0102,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_synergy,,cifar_vgg16,vgg16_cifar100_bp_synergy_e100,0.7214,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_synergy_e100_20260517_184428_13530257,789,True,100,10,
100,0.7195,cifar100,,,0.15171789171178932,,,,,,,,,,,,,,-0.005103828580788029,0.3,-0.0015311485742364086,,,0.005103828372406207,,,0.15018674308229285,0.7184,True,True,0.0075,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_synergy,,cifar_vgg16,vgg16_cifar100_bp_synergy_e100,0.7194,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_synergy_e100_20260517_184435_13530256,456,True,100,10,
100,0.7208,cifar100,,,0.15117048807537464,,,,,,,,,,,,,,-0.00545215853335112,0.3,-0.0016356475600053358,,,0.005452158351296151,,,0.1495348405178703,0.7208,True,True,0.0095,0.3,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_synergy,,cifar_vgg16,vgg16_cifar100_bp_synergy_e100,0.7203,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_synergy_e100_20260517_184726_13530274,1011,True,100,10,
100,0.01,cifar100,,,nan,,,,,,,,,,,,,,nan,0.3,nan,,,,,,nan,0.01,False,False,0.0094,,uniform,1.0,,0.05,10,0.3,avg_corr2,warmup,task,bp_tard,,vgg16,vgg16_cifar100_bp_tard_e100,,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_082206_13122571,42,False,100,10,
100,0.7245,cifar100,,,0.1462451774445946,,,,0.03976807687904289,0.2432421293702062,0.014976085715428999,,,,,0.9602319182618831,5.581965387215284,0.03888344174181703,0.010704518788877656,0.3,0.0032113556366632967,0.09404130642457077,,,0.5224126701089498,0.014976085715428999,0.14945653337232598,0.7227,True,True,0.01,,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_tard,,cifar_vgg16,vgg16_cifar100_bp_tard_e100,0.7245,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260516_162944_13306396,42,True,100,10,
100,0.727,cifar100,,,0.14478053637515859,,,,0.03757391344116807,0.23367011564482207,0.014951314056050224,,,,,0.9624260831320123,5.544413059170811,0.03682948696219455,0.010153724485651001,0.3,0.0030461173456953,0.07518987257821043,,,0.5228777021058261,0.014951314056050224,0.14782665387901198,0.727,True,True,0.0096,,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_tard,,cifar_vgg16,vgg16_cifar100_bp_tard_e100,0.7259,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260517_092633_13469060,1011,True,100,10,
100,0.7249,cifar100,,,0.15526931289859744,,,,0.039126915096270684,0.2475196456294979,0.015142740276168973,,,,,0.9608730830687512,5.645566340960226,0.038337237359569315,0.010567888345979059,0.3,0.0031703665037937177,0.08118050754861109,,,0.5226481698545773,0.015142740276168973,0.1584396789903226,0.7249,True,True,0.0076,,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_tard,,cifar_vgg16,vgg16_cifar100_bp_tard_e100,0.7248,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260517_092644_13469057,123,True,100,10,
100,0.7233,cifar100,,,0.14219644644757365,,,,0.037926907807049166,0.2362774177757187,0.015131882039039759,,,,,0.9620730902368612,5.631914545191382,0.03716400347319516,0.010253623999712412,0.3,0.0030760871999137235,0.08252957517226367,,,0.5228767837041379,0.015131882039039759,0.14527253399762657,0.7233,True,True,0.01,,uniform,1.0,0.0,0.05,10,0.3,avg_corr2,warmup,task,bp_tard,,cifar_vgg16,vgg16_cifar100_bp_tard_e100,0.723,5,13,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_tard_e100_20260517_092645_13469056,42,True,100,10,
